brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Paisley on Lilac Laptop<br> Product Id: 33.01.780.77",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Paisley on Lilac
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Azure Blue Laptop<br> Product Id: 33.01.780.78",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Azure Blue
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Mountain Blue Laptop<br> Product Id: 33.01.780.79",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Mountain Blue
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Iris on Ruby Laptop<br> Product Id: 33.01.780.76",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Iris on Ruby
acer,"Acer TravelMate P214-54 Intel Core i3 1215U 8GB DDR4, 1TB HDD 14 Inch FHD IPS Display Black Laptop<br> Product Id: 33.01.002.1013",Intel Core i3,Intel,12th,8,1024,False,True,-1,62500,14.0,FHD IPS,Black
asus,Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD WV Display Indie Black Laptop<br> Product Id: 33.01.006.1627,Intel Core i3,Intel,11th,8,512,True,False,-1,62800,15.6,FHD WV,Indie Black
hp,HP ProBook 450 G8 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch HD Display Pike Silver Laptop#1A890AV<br> Product Id: 33.01.020.1498,Intel Core i3,Intel,11th,8,256,True,False,-1,63000,15.6,HD,Pike Silver
msi,MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD14 Inch FHD Display Classic Black Laptop<br> Product Id: 33.01.033.1273,Intel Core i3,Intel,12th,16,512,True,False,-1,63000,14.0,FHD,Classic Black
msi,MSI Modern 14 C12MO Intel Core i3 1215U 16GB RAM 512GB SSD 14 Inch FHD Display Urban Silver Laptop<br> Product Id: 33.01.033.1274,Intel Core i3,Intel,12th,16,512,True,False,-1,63000,14.0,FHD,Urban Silver
asus,"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop<br> Product Id: 33.01.006.1805",Intel Core i3,Intel,12th,8,512,True,False,-1,63500,15.6,FHD,Quiet Blue
